	gene	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5	cluster_6	cluster_7
45	ABCA5	0.012492302	0.013006862	0.0138762736	0.0034046246	0.0116856474	0.0265911097	0.0015510875
46	ABCA6	0	0	0	0	0	0.0049427569	0
47	ABCA7	0.0078888411	0.0084004552	0.0095983795	0.0209730961	0.0041636065	0.0226402865	0.0336648017
48	ABCA8	0	0	0	0	0	0	0
49	ABCA9	0	0	0	0	0	0	0
50	ABCA9.AS1	0	0	0	0	0	0	0
51	ABCB1	0.0107890061	0.0029390164	0.0068854776	0.0063568233	0.0587529689	0.0291869224	0
52	ABCB10	0.0058724786	0.0096144778	0.002954924	0.0036579942	0.0123342859	0.004615903	0.0068021894
53	ABCB11	0	0	0	0	0	0	0
54	ABCB4	0	0.0335990977	0	0	0.0064437856	0	0.0019549249
55	ABCB5	0	0	0	0	0	0	0
56	ABCB6	0	0	0	0.003589704	0	0	0
57	ABCB7	0.0315662205	0.0379960131	0.0553092724	0.0262900822	0.0279455774	0.0244890663	0.0208829492
58	ABCB8	0.0305832727	0.0288367241	0.0129170079	0.0164210704	0.0382260055	0.0044241155	0.0110842342
59	ABCB9	0.0012241996	0.0012884513	0.0022745993	0.0023458332	0	0.004755673	0.0058750234
60	ABCC1	0.0150970622	0.0255735143	0.0154606868	0.016436923	0.0061395553	0.0252806246	0.0228115447
61	ABCC10	0.0067620527	0	0.01607819	0.0075919341	0.010879793	0.1947438902	0.0166113042
62	ABCC11	0	0	0.0033957406	0	0	0	0
63	ABCC12	0	0	0	0	0	0	0
64	ABCC2	0	0	0	0	0	0	0
65	ABCC3	0.0013838454	0	0	0.0531369941	0	0	0.0125865798
66	ABCC4	0.003405601	0	0.0061088115	0	0.0042963234	0	0.0020762588
67	ABCC5	0.0106541216	0.0114917296	0.0296273398	0.0104457	0.0196986197	0.0178554888	0.0048812434
68	ABCC5.AS1	0	0	0	0	0	0	0
69	ABCC6	0.0011023739	0	0	0	0	0	0.0048446535
70	ABCC8	0	0	0	0	0	0	0
71	ABCC9	0	0	0	0	0	0	0
72	ABCD1	0.0049235904	0.0049266579	0.0058468257	0.014623118	0.0098290973	0.0079267789	0.0237734202
73	ABCD2	0.0036417386	0.0033557425	0.0050936109	0.0022111485	0.0039266533	0.0024181078	0
74	ABCD3	0.0289563252	0.0336069676	0.0233636489	0.0138440727	0.0638831863	0.0389418105	0.020171704
75	ABCD4	0.0539775698	0.0118956645	0.0492941346	0.021963657	0.0951887193	0.0428569755	0.0214140531
76	ABCE1	0.0656708674	0.0944740788	0.0747203685	0.0390496706	0.051884025	0.0582108945	0.0282651089
77	ABCF1	0.0742597596	0.0636112228	0.0703284302	0.0444002476	0.1366250469	0.0813339182	0.0767135932
78	ABCF2	0.0373352828	0.0350085111	0.0365904993	0.020868974	0.0470762923	0.0614048402	0.0247009135
79	ABCF3	0.020872129	0.0447581515	0.0227464723	0.0382731039	0.0454504474	0.0403141297	0.0213693911
80	ABCG1	0.0171950408	0.0398294434	0.017177617	0.0072428946	0.0171317283	0.032100172	0.0019455915
81	ABCG2	0	0	0	0	0.002267504	0.0089222039	0.0083320499
82	ABCG4	0	0	0	0	0	0	0
83	ABCG5	0	0	0	0	0	0	0
84	ABCG8	0	0	0	0	0	0	0
85	ABHD1	0.0014930245	0.0020397379	0	0.0087807562	0	0	0.0017724962
86	ABHD10	0.0294253397	0.049041015	0.0204379172	0.017617664	0.0332230291	0.0597647165	0.0192627587
87	ABHD11	0.0203847541	0.0114629833	0.0312625355	0.055321842	0.038219246	0.0273497887	0.02148188
88	ABHD12	0.0254562893	0.0267540286	0.0300578152	0.2253615309	0.0652771726	0.0508357747	0.0126593269
89	ABHD12B	0	0	0	0	0	0	0
90	ABHD13	0.043855622	0.0779004266	0.0618078191	0.0266683465	0.0650788878	0.0456401898	0.0337437301
91	ABHD14A	0.1205273165	0.0556885311	0.1591996181	0.018206667	0.2823377982	0.1431071524	0.0264004573
92	ABHD14A.ACY1	0	0	0	0	0	0	0
93	ABHD14B	0.2346343045	0.1602327726	0.2396145557	0.0878081988	0.2325258866	0.2738275792	0.1026809211
94	ABHD15	0.0060907531	0.0443098128	0.0039803739	0.0043841644	0.0130705785	0.0443886796	0.0016701352
95	ABHD16A	0.0107652418	0.0111736221	0.0241040759	0.0927943694	0.029213845	0.012532283	0.013253269
96	ABHD16B	0	0.0021219925	0.0022498933	0.0016768513	0	0	0.0017655151
97	ABHD17A	0.0525306886	0.0249113663	0.0597737713	0.0273233464	0.3217853974	0.1203712911	0.0389323459
98	ABHD17B	0.0771295305	0.0386092152	0.0368471151	0.0079927136	0.0620059331	0.0210306035	0.0069423104
99	ABHD17C	0	0	0	0.0021490467	0	0.0052352033	0
100	ABHD2	0.0247180827	0.0149885221	0.0203949851	0.0521672549	0.0570956333	0.0251149359	0.0467267682
101	ABHD3	0.0688955205	0.0655550795	0.0684203979	0.0897651342	0.1161996963	0.0815273253	0.0430053488
102	ABHD4	0.0046067179	0.0045777492	0.0034106505	0.0017665007	0	0.0082381117	0
103	ABHD5	0.0691071164	0.0131978377	0.0266077094	0.0608593575	0.0148397772	0.0038005106	0.0450522467
104	ABHD6	0	0.0242771049	0.0040695516	0.0219016473	0.0133248623	0.0115287717	0.0114705441
105	ABHD8	0.0097375068	0.0056677134	0.0100729837	0.0200822934	0.0159478977	0.0121199383	0.0395504005
106	ABI1	0.1156061169	0.1860789253	0.152807995	0.1093223573	0.295925107	0.1943359463	0.0810522664
107	ABI2	0.028011744	0.0382599587	0.0310046149	0.0223025701	0.0540263264	0.0278688992	0.0085510386
108	ABI3	0.0624777569	0.0531536089	0.0841806257	1.0277572455	0.6759634324	0.1609273368	0.1706725731
109	ABI3BP	0	0	0	0	0	0	0
110	ABL1	0.0171029343	0.0069816296	0.0143818013	0.0080930449	0.0050884462	0.0076025515	0.0208232638
111	ABL2	0.0221331954	0.0115397014	0.026551658	0.0092680836	0.0162719278	0.0212212569	0.0128072828
112	ABLIM1	0.0760929507	0.0952846776	0.1336176848	0.0260722192	0.077186383	0.0878853334	0.0317677183
113	ABLIM2	0.0025074729	0.0036477614	0	0	0	0.0033505301	0
114	ABLIM3	0.0027180935	0	0	0	0	0	0
115	ABR	0.0221808768	0.0149271322	0.040462813	0.0681299702	0.0418347803	0.0516625449	0.0366951378
116	ABRA	0	0	0	0	0	0	0
117	ABRACL	0.4563823255	0.2662754476	0.5387151396	0.4640550957	0.4357396514	0.3805506424	0.2840652323
118	ABT1	0.095970985	0.0991699067	0.1827430805	0.2018845782	0.226966745	0.2407055728	0.1394738565
119	ABTB1	0.0787064108	0.1246667027	0.0841667215	0.1546944431	0.1437556733	0.1487963097	0.1553418036
120	ABTB2	0	0.003545781	0	0.0017302352	0	0	0.0024481938
121	AC000003.2	0	0.0032286975	0	0.0064411283	0	0	0.0016782639
122	AC000032.2	0	0	0	0	0	0	0
123	AC000036.4	0	0	0	0	0	0	0
124	AC000067.1	0	0	0	0	0	0	0
125	AC000068.10	0	0	0	0	0	0	0
126	AC000068.5	0	0	0	0	0	0	0
127	AC000068.9	0	0	0	0.0015011152	0	0	0
128	AC000099.1	0	0	0	0	0	0	0
129	AC000111.3	0	0	0	0	0	0	0
130	AC000111.6	0	0	0	0	0	0	0
131	AC000123.4	0	0	0	0	0	0	0
132	AC000124.1	0	0	0	0	0	0	0
133	AC000370.2	0	0	0	0	0	0	0
134	AC002056.5	0	0	0	0	0	0	0
135	AC002064.4	0	0	0	0	0	0	0
136	AC002064.5	0	0	0	0	0	0	0
137	AC002066.1	0	0	0	0	0	0	0
138	AC002076.10	0	0	0	0	0	0	0
139	AC002115.5	0	0	0	0	0	0	0
140	AC002115.9	0	0	0	0	0	0	0
141	AC002116.7	0.0047157505	0.0044521733	0	0.0021208317	0	0	0.0018318933
142	AC002117.1	0.0216796247	0.027690805	0.0162226587	0.0083058767	0.0263193476	0.0112886662	0.0177726326
143	AC002127.4	0	0	0	0	0	0	0
144	AC002128.5	0	0	0.0025488947	0	0	0	0
145	AC002306.1	0	0	0.0024388561	0	0	0	0
146	AC002310.12	0.0169831056	0.0108093727	0.0166966411	0.003755487	0.0107829218	0.0095140013	0.0022290616
147	AC002310.13	0	0	0	0	0	0	0
148	AC002310.7	0.0023291183	0	0	0	0	0	0
149	AC002321.1	0	0	0	0	0	0	0
150	AC002321.2	0	0	0	0	0	0	0
151	AC002331.1	0	0	0	0	0	0.013333506	0
152	AC002365.1	0	0	0	0	0	0	0
153	AC002368.4	0	0	0	0	0	0	0
154	AC002383.2	0	0	0	0	0	0	0
155	AC002386.1	0	0	0	0	0	0	0
156	AC002398.11	0.0010284829	0	0	0.0023970818	0	0	0
157	AC002398.12	0	0	0	0	0	0	0
158	AC002398.13	0	0	0	0	0	0	0
159	AC002398.5	0	0	0	0	0	0	0
160	AC002398.9	0	0	0	0	0	0	0
161	AC002401.1	0	0	0	0.0018287171	0	0	0
162	AC002429.5	0	0	0	0	0	0	0
163	AC002451.1	0	0	0	0	0	0	0
164	AC002451.3	0	0	0	0.0018385458	0	0	0.0032064684
165	AC002454.1	0	0.0011668706	0	0	0	0	0
166	AC002456.2	0	0.0041566088	0	0.001837384	0	0	0
167	AC002463.3	0	0	0	0	0	0	0
168	AC002465.2	0	0	0	0	0	0	0
169	AC002467.7	0.0092730756	0.0029797377	0.0105752949	0.0112859521	0.0080058607	0.0055813561	0.0124855295
170	AC002472.1	0	0	0	0	0	0	0
171	AC002472.11	0	0	0	0	0	0	0
172	AC002472.13	0	0	0	0	0	0	0
173	AC002480.2	0	0	0	0.0038614346	0	0	0
174	AC002480.3	0	0	0	0	0	0	0
175	AC002480.4	0	0	0	0	0	0	0
176	AC002511.1	0	0	0	0	0	0	0
177	AC002511.2	0	0	0	0	0	0	0
178	AC002511.3	0	0	0	0	0	0	0
179	AC002539.1	0	0	0	0	0	0	0
180	AC002550.5	0	0	0	0.0032005066	0	0	0
181	AC002553.1	0	0	0	0	0	0	0
182	AC002985.3	0	0	0	0	0	0	0
183	AC003002.4	0	0	0	0	0	0	0
184	AC003002.6	0	0	0	0	0	0	0
185	AC003005.2	0	0	0	0	0	0	0
186	AC003005.4	0	0	0	0	0	0	0
187	AC003006.7	0	0	0	0	0	0	0
188	AC003009.1	0	0	0	0	0	0	0
189	AC003043.1	0	0	0	0	0	0	0
190	AC003051.1	0	0	0	0	0	0	0
191	AC003075.4	0.0070015065	0	0.0228214481	0.0087359114	0.0073265338	0.018663221	0.0211907462
192	AC003084.2	0	0	0	0	0	0	0
193	AC003088.1	0	0	0	0	0	0	0
194	AC003090.1	0	0	0	0	0	0	0
195	AC003092.1	0	0	0	0	0	0	0
196	AC003092.2	0	0	0	0	0	0	0
197	AC003101.1	0	0	0	0	0	0	0
198	AC003102.1	0	0	0	0	0	0	0
199	AC003102.3	0.0011833717	0	0	0	0	0	0
200	AC003664.1	0	0	0	0	0	0	0
201	AC003665.1	0	0	0	0	0	0	0
202	AC003682.16	0	0	0	0	0	0	0
203	AC003956.1	0	0	0	0	0	0	0
204	AC003958.2	0	0	0	0	0	0	0
205	AC003973.4	0	0	0	0	0	0	0
206	AC003973.5	0	0	0	0	0	0	0
207	AC003984.1	0	0	0	0	0	0	0
208	AC003985.1	0	0	0	0	0	0	0
209	AC003986.5	0	0	0	0	0	0	0
210	AC003986.6	0	0	0	0	0	0	0
211	AC003986.7	0	0	0	0	0	0	0
212	AC003988.1	0	0	0	0	0	0	0
213	AC003991.3	0	0	0	0	0	0	0.0015367305
214	AC004009.3	0	0	0	0	0	0	0
215	AC004012.1	0	0	0	0	0	0	0
216	AC004014.3	0	0	0	0	0	0	0
217	AC004017.1	0	0	0	0	0	0	0
218	AC004019.13	0	0	0	0	0	0	0
219	AC004019.18	0	0	0	0	0	0	0
220	AC004041.2	0	0	0	0	0	0	0
221	AC004051.2	0	0	0	0	0	0	0
222	AC004053.1	0	0	0	0	0	0	0
223	AC004054.1	0	0	0	0	0	0	0
224	AC004063.1	0	0	0	0	0	0	0
225	AC004066.3	0	0	0	0	0	0	0
226	AC004067.5	0	0	0	0	0	0	0
227	AC004069.2	0	0	0	0.0132198669	0	0	0.0099980306
228	AC004070.1	0	0	0	0	0	0	0
229	AC004076.7	0	0	0	0	0	0	0
230	AC004076.9	0	0	0	0	0	0	0
231	AC004112.4	0	0	0	0	0	0	0
232	AC004125.3	0	0	0	0	0	0	0
233	AC004156.3	0	0	0	0	0	0	0
234	AC004158.2	0.0021088702	0.0080671857	0	0	0	0	0
235	AC004158.3	0	0	0	0	0	0	0
236	AC004160.4	0	0	0	0	0	0	0
237	AC004221.2	0	0	0	0	0	0	0
238	AC004231.2	0	0	0	0	0	0	0
239	AC004237.1	0	0	0	0	0	0	0
240	AC004257.1	0.0014594411	0	0	0	0	0.0046569637	0
241	AC004257.3	0.0025013774	0.0080777087	0	0.0011272185	0	0.0036545922	0.0086704891
242	AC004381.6	0	0.0037586357	0	0	0.0049493939	0	0
243	AC004381.7	0	0	0	0	0	0	0
244	AC004447.2	0.0025411539	0	0.0013627643	0.0016768513	0.0060121787	0	0.0026987615
245	AC004448.2	0	0	0	0	0	0	0
246	AC004448.5	0	0	0	0	0	0	0
247	AC004449.6	0	0	0	0	0	0	0
248	AC004463.6	0.0013940395	0	0.0031024489	0.0025251066	0.0069660339	0	0
249	AC004466.1	0	0	0.0055385073	0	0	0	0
250	AC004471.10	0	0	0	0	0	0	0
251	AC004471.9	0	0	0	0	0	0	0
252	AC004485.3	0	0	0	0	0	0	0
253	AC004490.1	0	0	0	0	0	0	0
254	AC004510.3	0	0	0	0	0	0	0
255	AC004528.1	0	0	0	0	0	0	0
256	AC004528.4	0	0	0	0	0	0	0
257	AC004535.2	0	0	0	0	0	0	0
258	AC004540.4	0	0	0.0035620657	0.0016648498	0	0	0
259	AC004540.5	0	0.0019745966	0	0.0020895869	0	0	0.0017724962
260	AC004543.2	0	0	0	0	0	0	0
261	AC004549.6	0	0	0	0	0	0	0
262	AC004562.1	0	0	0	0	0	0	0
263	AC004593.3	0	0	0	0	0	0	0
264	AC004603.4	0	0	0	0	0	0	0
265	AC004623.2	0	0	0	0	0	0	0
266	AC004637.1	0	0	0	0	0	0	0
267	AC004691.5	0	0	0	0	0	0	0
268	AC004692.4	0	0	0	0	0	0	0
269	AC004702.2	0	0	0	0	0	0	0
270	AC004744.3	0	0	0	0	0	0	0
271	AC004775.5	0	0	0	0	0	0	0
272	AC004817.1	0	0	0	0	0	0	0
273	AC004824.2	0	0	0	0	0	0	0
274	AC004837.4	0	0	0	0	0	0	0
275	AC004837.5	0	0	0	0	0	0	0
276	AC004840.8	0	0	0	0	0	0	0
277	AC004840.9	0	0.0018006423	0	0	0	0	0
278	AC004854.4	0.0036415744	0	0.0210010766	0	0	0.0188695629	0
279	AC004862.6	0	0	0	0	0	0	0
280	AC004869.2	0	0	0	0	0	0	0
281	AC004869.3	0	0	0	0	0	0	0
282	AC004870.3	0	0	0	0	0	0	0
283	AC004878.2	0	0	0	0	0	0	0
284	AC004878.8	0	0	0	0	0	0	0
285	AC004893.11	0.0010777837	0.002899393	0	0.0022375223	0.0081687671	0.0057019635	0
286	AC004895.4	0.0011827554	0.0038403451	0	0	0	0	0
287	AC004899.1	0	0	0	0	0	0	0
288	AC004906.3	0	0	0	0	0	0	0
289	AC004920.3	0	0	0	0	0	0	0
290	AC004941.3	0	0	0	0	0	0	0
291	AC004947.2	0	0	0	0	0	0	0
292	AC004951.6	0.0197857787	0.0077891315	0.0186218369	0.0133644441	0.0156792623	0.0465865868	0.0136379165
293	AC004988.1	0	0	0	0	0	0	0
294	AC005003.1	0.0012644155	0.0027103367	0	0	0	0	0
295	AC005008.2	0	0	0	0	0	0	0
296	AC005009.1	0	0	0	0	0	0	0
297	AC005009.2	0	0	0	0	0	0	0
298	AC005013.5	0	0	0	0	0	0	0
299	AC005019.3	0	0	0	0	0	0	0
300	AC005022.1	0	0	0	0	0	0	0
301	AC005029.1	0	0	0	0	0	0	0
302	AC005037.3	0.000896522	0	0	0	0	0	0
303	AC005041.17	0	0	0	0	0	0	0
304	AC005042.4	0	0	0	0	0	0	0
305	AC005042.5	0	0	0	0	0	0	0
306	AC005076.5	0.0043923086	0.0064674881	0.0047105831	0.0030411197	0.0042553159	0	0.0139265604
307	AC005082.1	0	0	0	0	0	0	0
308	AC005082.12	0.0075706984	0.0037274789	0.002030786	0.0111550649	0.0047623174	0	0.0861251564
309	AC005104.3	0	0	0	0	0	0	0
310	AC005150.1	0	0	0	0	0	0	0
311	AC005152.3	0	0	0	0	0	0	0
312	AC005162.4	0	0	0	0	0	0	0
313	AC005162.5	0	0	0	0	0	0	0
314	AC005197.2	0	0	0	0	0	0	0
315	AC005220.3	0	0	0	0	0	0	0.0021603098
316	AC005224.2	0.0044854396	0	0	0	0	0	0
317	AC005235.1	0	0	0	0	0	0	0
318	AC005237.4	0	0	0	0	0	0	0
319	AC005253.2	0.0011337445	0.0053532084	0.0061891194	0.0018484808	0.0056932615	0.0033047049	0.005840577
320	AC005253.4	0.001302116	0	0	0.0018076843	0	0.008147433	0
321	AC005256.1	0	0	0	0	0	0	0
322	AC005262.2	0	0	0	0	0	0	0
323	AC005262.3	0	0	0	0	0	0	0
324	AC005264.2	0	0	0	0	0	0	0.0088225532
325	AC005276.1	0	0	0	0	0	0	0
326	AC005281.1	0	0	0	0	0	0	0
327	AC005281.2	0	0	0	0	0	0	0
328	AC005301.8	0	0	0	0	0	0	0
329	AC005304.1	0	0	0	0	0.006146066	0	0
330	AC005306.3	0.0022868107	0.0064064441	0.0076267716	0.0050517459	0	0.0032449607	0.0020946929
331	AC005307.1	0	0	0	0	0	0	0
332	AC005307.3	0	0	0	0	0	0	0
333	AC005324.6	0	0	0	0	0	0	0
334	AC005324.7	0	0	0	0	0	0	0
335	AC005329.7	0	0.0027267721	0	0.0035808623	0	0	0
336	AC005330.2	0	0	0	0	0	0	0
337	AC005339.2	0	0	0	0	0	0	0.0023432529
338	AC005355.1	0	0	0	0	0	0	0
339	AC005355.2	0	0	0	0	0	0	0
340	AC005356.1	0	0	0	0	0	0	0
341	AC005358.1	0	0	0	0	0	0	0
342	AC005358.3	0	0	0	0	0	0	0
343	AC005387.2	0	0	0	0	0	0	0
344	AC005387.3	0	0	0	0	0	0	0
345	AC005391.2	0	0	0	0	0	0	0
346	AC005392.13	0	0	0	0	0	0	0
347	AC005394.1	0	0	0	0	0	0	0
348	AC005477.1	0	0	0	0	0	0	0
349	AC005481.5	0	0	0	0	0	0	0
350	AC005487.2	0	0	0	0	0	0	0
351	AC005488.1	0	0	0	0	0	0	0
352	AC005493.1	0	0	0	0	0	0	0
353	AC005498.3	0.001288083	0.0021256401	0	0	0	0	0
354	AC005498.4	0	0	0	0	0	0	0
355	AC005522.7	0	0	0	0	0	0	0
356	AC005523.2	0.0063761038	0.0153845621	0.0077616295	0.0038083634	0	0.0095329954	0.0202987811
357	AC005523.3	0	0	0	0	0	0	0
358	AC005534.8	0	0	0	0	0	0	0
359	AC005538.5	0	0	0	0	0	0	0
360	AC005540.3	0	0	0	0	0	0	0
361	AC005544.1	0	0	0	0	0	0	0
362	AC005546.2	0	0	0	0	0	0	0
363	AC005549.3	0	0	0	0	0	0	0
364	AC005550.3	0	0	0	0	0	0	0
365	AC005550.4	0	0	0	0	0	0	0
366	AC005550.5	0	0	0	0	0	0	0
367	AC005559.2	0	0	0	0	0	0	0
368	AC005592.1	0	0	0	0	0	0	0
369	AC005592.2	0	0	0	0	0	0	0
370	AC005592.3	0	0	0	0	0	0	0
371	AC005594.3	0	0	0	0	0	0	0.0022125582
372	AC005597.1	0	0	0	0	0	0	0
373	AC005606.1	0	0	0	0	0	0	0
374	AC005606.14	0	0	0	0	0	0	0
375	AC005606.15	0	0	0	0	0	0	0
376	AC005609.1	0	0	0	0	0	0	0
377	AC005614.3	0.0050168248	0	0	0	0	0	0
378	AC005616.1	0	0	0	0	0	0	0
379	AC005616.2	0	0	0	0	0	0	0
380	AC005618.6	0	0	0.0028272089	0	0	0	0
381	AC005624.2	0	0	0	0	0	0	0
382	AC005625.1	0.000896522	0	0	0	0	0	0
383	AC005682.8	0.0014698319	0	0	0	0	0	0
384	AC005703.2	0	0	0	0	0	0	0
385	AC005703.3	0	0	0	0	0	0	0
386	AC005740.5	0	0	0	0	0	0	0
387	AC005740.6	0	0	0	0	0	0	0
388	AC005754.7	0	0	0	0	0	0	0
389	AC005754.8	0	0	0	0	0	0	0
390	AC005757.6	0	0	0	0	0	0	0
391	AC005757.7	0	0	0	0	0	0	0
392	AC005772.2	0	0	0	0	0	0	0
393	AC005775.2	0	0	0	0	0	0	0.0029070317
394	AC005779.2	0	0	0	0	0	0	0
395	AC005780.1	0	0	0	0	0	0	0
396	AC005786.5	0	0	0	0	0	0	0
397	AC005786.7	0	0	0.0030763392	0	0	0	0
398	AC005789.11	0	0	0	0	0	0.0057847551	0
399	AC005789.9	0	0	0	0	0	0	0
400	AC005808.3	0	0	0	0	0	0	0
401	AC005841.1	0	0	0	0	0	0	0
402	AC005863.1	0	0	0	0	0	0	0
403	AC005863.2	0	0	0	0	0	0	0
404	AC005932.1	0	0	0	0.0020895869	0	0	0.0066115554
405	AC005943.5	0	0	0	0	0	0	0.0014977089
406	AC005944.2	0	0	0.0072136148	0.0043896018	0	0.0030886155	0
407	AC005954.4	0	0	0	0	0	0	0
408	AC006000.5	0	0	0	0	0	0	0
409	AC006004.1	0	0	0	0	0	0	0
410	AC006007.1	0	0	0	0	0	0	0
411	AC006014.1	0	0	0	0	0	0	0
412	AC006019.3	0	0	0	0	0	0	0
413	AC006019.4	0	0	0	0	0	0	0
414	AC006026.13	0	0	0	0	0	0	0
415	AC006037.2	0	0	0	0	0	0	0
416	AC006041.1	0	0	0	0	0	0	0
417	AC006042.6	0	0	0	0	0	0	0
418	AC006042.7	0	0.0015228955	0	0	0	0	0
419	AC006076.1	0	0	0	0	0	0	0
420	AC006115.3	0	0	0	0	0	0	0
421	AC006116.12	0	0	0	0	0	0	0
422	AC006116.17	0	0	0	0.0018076843	0	0	0
423	AC006116.20	0.0010777837	0	0.0029147304	0.0011413779	0.0132435213	0.0022027503	0
424	AC006116.21	0	0	0	0	0	0	0
425	AC006126.3	0	0	0	0	0	0	0
426	AC006126.4	0	0	0	0	0	0	0
427	AC006129.1	0.0019169091	0	0	0	0.004270995	0	0.0031194453
428	AC006129.2	0.0267047402	0.0300591839	0.0365330133	0.0066653377	0.0814434161	0.0293082833	0.0071866322
429	AC006129.4	0.0012375424	0.0262650602	0	0.0014644474	0	0.0036588491	0.0028790256
430	AC006130.3	0	0	0	0	0	0	0
431	AC006150.1	0	0	0	0	0	0	0
432	AC006156.1	0	0	0	0	0	0	0
433	AC006159.3	0	0	0	0	0	0	0
434	AC006159.4	0	0	0	0	0	0	0
435	AC006159.5	0	0	0	0	0	0	0
436	AC006160.5	0.0014052539	0	0	0	0.0042304673	0	0
437	AC006196.1	0	0	0	0	0	0	0
438	AC006227.1	0	0	0	0	0	0	0
439	AC006262.10	0	0	0	0	0	0	0
440	AC006262.4	0	0	0	0	0	0	0
441	AC006262.5	0	0	0	0	0	0	0
442	AC006272.1	0	0	0	0	0	0	0
443	AC006272.2	0	0	0	0	0	0	0
444	AC006273.4	0	0	0	0	0	0	0
445	AC006273.5	0	0	0	0	0	0	0
446	AC006273.7	0	0	0	0	0	0	0
447	AC006277.2	0	0	0	0	0	0.0038051145	0
448	AC006296.1	0	0	0	0	0	0	0
449	AC006296.2	0	0	0	0	0	0	0
450	AC006369.2	0.0285887866	0	0.0381849842	0	0.0518519775	0.0587221505	0.0037448979
451	AC006369.3	0	0	0	0	0	0	0
452	AC006372.1	0	0	0	0	0	0	0
453	AC006372.4	0	0	0	0	0	0	0
454	AC006372.5	0	0	0	0	0	0	0
455	AC006372.6	0	0	0	0	0	0	0
456	AC006373.1	0	0	0	0	0	0	0
457	AC006378.2	0	0	0	0	0	0	0
458	AC006380.3	0	0	0	0	0	0	0
459	AC006435.1	0	0	0	0	0	0	0
460	AC006449.1	0.0017035936	0	0	0	0	0	0
461	AC006455.1	0	0	0	0	0	0	0
462	AC006458.3	0	0	0	0	0	0	0
463	AC006460.2	0	0	0.0028259233	0	0	0	0
464	AC006482.1	0	0	0	0	0	0	0
