Rows	baseMean	baseSD	AvExpInCluster	AvExpInOtherClusters	foldChange	log2FoldChange	pval	padj	clusters	gene	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5	cluster_6	cluster_7
FHIT	0.1021270476	0.3888640952	0.2246384576	0.0526261687	4.268569479	2.093752662	9.96E-15	1.81E-11	1	FHIT	0.2246384576	0.042577145	0.186396047	0.0131325945	0.0267441349	0.0379005267	0.0262060956
MAL	0.1935669702	1.0878995622	0.4251150514	0.1000096964	4.2507383458	2.0877134566	1.39E-06	0.002471973	1	MAL	0.4251150514	0.0261247478	0.4112306641	0.0117330553	0.030474189	0.1577104608	0.0231234362
LEF1	0.2130803335	0.557175347	0.462536857	0.1122871326	4.1192329544	2.0423757171	5.82E-31	1.06E-27	1	LEF1	0.462536857	0.0263212722	0.3953034456	0.0442675281	0.0785513794	0.1363797718	0.0473718702
RP11.18H21.1	0.0496579125	0.2945926555	0.1073675062	0.0263402835	4.0761712475	2.0272146631	1.53E-06	0.0027179055	1	RP11.18H21.1	0.1073675062	0.0072396075	0.1001398468	0.0064864075	0.0077539184	0.0410707449	0.0095832718
PCSK1N	0.03717938	0.2036231094	0.0803644085	0.0197304186	4.0731223313	2.0261351446	2.86E-08	5.12E-05	1	PCSK1N	0.0803644085	0	0.0451997102	0.0036531203	0.0043123067	0.0807732366	0
PRKCQ.AS1	0.2193762354	0.5758421896	0.4722174921	0.1172154291	4.0286291301	2.0102889991	1.57E-30	2.87E-27	1	PRKCQ.AS1	0.4722174921	0.01050697	0.32928251	0.0208083673	0.1773774	0.2268969601	0.0104644076
CCR7	0.2818099549	0.6853035901	0.5990239007	0.153639288	3.8988979215	1.9630663835	1.21E-34	2.21E-31	1	CCR7	0.5990239007	0.2557659572	0.487830165	0.0240020383	0.0267017765	0.1388555703	0.028672756
GSTM3	0.0276434809	0.1735689457	0.0586931326	0.0150978327	3.8875203984	1.9588502453	5.78E-06	0.0102450404	1	GSTM3	0.0586931326	0	0.0453662957	0.0055840147	0.0219871731	0.0182678579	0.0066891105
TCEA3	0.0454218116	0.264310142	0.0950174076	0.0253826529	3.7433993962	1.9043489825	7.35E-06	0.0130128288	1	TCEA3	0.0950174076	0	0.0811576691	0.0147081785	0.0075301182	0.0526251924	0.0107495153
FBLN5	0.046236569	0.2269435625	0.0935773151	0.027108485	3.4519566538	1.7874143487	2.26E-08	4.05E-05	1	FBLN5	0.0935773151	0	0.1082330214	0.00167203	0.0337198941	0.0378293484	0
RP11.291B21.2	0.0506335778	0.2956167655	0.1014677557	0.0300939687	3.3716973929	1.7534750614	6.35E-06	0.0112496288	1	RP11.291B21.2	0.1014677557	0.0132934787	0.0275068193	0.0051977301	0.0274383604	0.1164652244	0.0068009715
AC013264.2	0.052964666	0.2702493147	0.1044001837	0.0321820848	3.2440466313	1.6977945576	6.23E-07	0.001108221	1	AC013264.2	0.1044001837	0.0104010271	0.1099646773	0	0.02335818	0.0683825093	0.0016136223
TMEM204	0.0849647718	0.3198300309	0.166927216	0.05184775	3.219565284	1.6868659042	6.33E-12	1.14E-08	1	TMEM204	0.166927216	0.0148656268	0.107206712	0.00793886	0.1010259721	0.0876090929	0.015722328
CD5	0.0797293071	0.3344419632	0.1545916748	0.0494810797	3.124258316	1.6435137415	2.61E-08	4.66E-05	1	CD5	0.1545916748	0.0236927266	0.1607907547	0.0159180924	0.0342979661	0.0781225684	0.0097358402
TRABD2A	0.1148723304	0.7548794847	0.2219377702	0.0716124139	3.0991522009	1.6318736082	9.77E-09	1.75E-05	1	TRABD2A	0.2219377702	0.0442171844	0.1430359872	0.0209140406	0.0224910093	0.2218858463	0.0147636256
APBA2	0.0625444112	0.2923069034	0.1188115404	0.0398096117	2.9844938313	1.5774862719	2.49E-07	0.0004442715	1	APBA2	0.1188115404	0	0.1033548381	0.007170046	0.0972417854	0.048652274	0.0044783187
NGFRAP1	0.1120620578	0.5081154464	0.2086136871	0.0730502588	2.8557556181	1.5138725257	3.70E-11	6.66E-08	1	NGFRAP1	0.2086136871	0.002568107	0.1773815498	0.1761161261	0.0276798445	0.077678625	0.0140069392
CMTM8	0.0422539056	0.212898791	0.0771526314	0.0281530345	2.7404730196	1.4544249312	4.59E-06	0.0081396597	1	CMTM8	0.0771526314	0.0050409454	0.1273226186	0.0039940388	0.0168310431	0.0255299461	0.0068130672
PRKCA	0.0479371774	0.2478723122	0.0871985541	0.0320735721	2.7187041693	1.4429191758	1.58E-05	0.0279194585	1	PRKCA	0.0871985541	0.0163217895	0.0876410952	0.0208393015	0.0217580909	0.0382277763	0.0185116097
OXNAD1	0.135164715	0.4618872625	0.2446792401	0.0909152427	2.6912895206	1.4282976	1.89E-12	3.42E-09	1	OXNAD1	0.2446792401	0.0414323086	0.2065354148	0.0301214297	0.0789786566	0.1883759274	0.0389079005
SH3YL1	0.1184884833	0.4011723901	0.2130694247	0.080272943	2.6543118594	1.4083378852	4.11E-11	7.40E-08	1	SH3YL1	0.2130694247	0.066986128	0.2120195453	0.0282087471	0.071150025	0.1222531734	0.0145123397
FAM134B	0.0402162698	0.2085573955	0.0717718526	0.0274661995	2.61309733	1.3857608617	2.62E-05	0.046193313	1	FAM134B	0.0717718526	0.017484201	0.0692175889	0.0089287261	0.0138871467	0.0588659093	0.0087816968
RGL4	0.1257664573	0.3990190449	0.2222419241	0.0867854319	2.5608206272	1.3566062028	1.39E-11	2.51E-08	1	RGL4	0.2222419241	0.0271884458	0.1587402294	0.0774774675	0.1057678616	0.172634365	0.0201266829
TRAT1	0.216328986	0.5386377597	0.3807396856	0.14989865	2.5399807506	1.3448175635	6.54E-19	1.19E-15	1	TRAT1	0.3807396856	0.0320601964	0.4325272953	0.0349526361	0.1070814084	0.3647675355	0.0212171746
TESPA1	0.0779331061	0.3309322229	0.1366428057	0.0542113831	2.5205556098	1.3337417842	9.95E-07	0.001768484	1	TESPA1	0.1366428057	0.0257684459	0.162134486	0.0174708719	0.0774748389	0.0611019218	0.0075483099
FLT3LG	0.2185522253	0.5885739849	0.3813642297	0.152767844	2.4963645475	1.3198286283	8.53E-14	1.54E-10	1	FLT3LG	0.3813642297	0.056771142	0.4088998059	0.0485161588	0.0887470303	0.3370421006	0.0533924091
ITK	0.0870131633	0.329315705	0.1517838015	0.060842511	2.4946998236	1.3188662328	8.35E-08	0.0001490478	1	ITK	0.1517838015	0.013771505	0.1086357186	0.0163016718	0.102535284	0.1289636343	0.0225043304
IL7R	0.9061886172	1.8521461888	1.5776478389	0.6348847312	2.4849358653	1.3132086172	9.26E-25	1.68E-21	1	IL7R	1.5776478389	0.1628763898	1.4770758782	0.1272113454	0.3161639188	2.0039665249	0.1160694895
SERINC5	0.0541237871	0.2455861655	0.0937824566	0.0380996551	2.4615040813	1.2995401316	8.02E-06	0.014195821	1	SERINC5	0.0937824566	0.0130139473	0.1063600468	0.0383814446	0.0135256242	0.0493107409	0.0223833473
SUPT3H	0.0571360684	0.2691681943	0.0987701576	0.0403137658	2.4500355065	1.2928026573	2.69E-05	0.0474683994	1	SUPT3H	0.0987701576	0.0076904254	0.0672745679	0.0172490341	0.0721985341	0.079826612	0.0153545075
TCF7	0.3018873358	0.713343815	0.5217621747	0.2130466493	2.449051306	1.2922229977	1.30E-16	2.36E-13	1	TCF7	0.5217621747	0.1260676097	0.4473779264	0.0946289179	0.1672603689	0.4083538489	0.1101688971
USP10	0.0956663091	0.4238495273	0.1644326733	0.067881179	2.4223603036	1.2764134685	1.18E-05	0.0208360744	1	USP10	0.1644326733	0.0440481562	0.1812634135	0.0599515054	0.0456706738	0.0644186525	0.0334526597
CAMK4	0.1080982572	0.3679647779	0.1844410724	0.0772518533	2.3875294196	1.2555185104	5.15E-09	9.25E-06	1	CAMK4	0.1844410724	0.0601493927	0.1498589242	0.049164608	0.0498116599	0.1422796347	0.0368493729
LINC00649	0.0543323466	0.2576772613	0.0926760545	0.0388395265	2.3861272981	1.2546710118	2.92E-05	0.0513393616	1	LINC00649	0.0926760545	0.0045784786	0.0806511969	0.0106190183	0.0470157336	0.113691727	0.001746938
CD40LG	0.127733631	0.4738799058	0.2176425682	0.0914058195	2.3810581132	1.2516028321	6.23E-10	1.12E-06	1	CD40LG	0.2176425682	0.0268153503	0.2804873713	0.0119414282	0.0277814018	0.2333876017	0.0226995618
BCL11B	0.095052467	0.3653877343	0.1618278728	0.0680717859	2.3773119893	1.2493312495	4.94E-08	8.83E-05	1	BCL11B	0.1618278728	0.0050655118	0.1557154977	0.0132611405	0.1485396478	0.120757855	0.0043683702
PIK3IP1	0.3452003213	0.6957644692	0.5864331937	0.2477298963	2.3672281888	1.2431987813	4.90E-23	8.91E-20	1	PIK3IP1	0.5864331937	0.1846437958	0.6439297633	0.0867290206	0.2426256475	0.3843060221	0.0497011526
FAM102A	0.0806287512	0.3150302783	0.1349612504	0.0586756412	2.3001239957	1.2017116365	6.05E-07	0.0010782907	1	FAM102A	0.1349612504	0.0602605437	0.1034976528	0.0247979381	0.0320829137	0.1342643394	0.0176529684
LDHB	1.8958852012	2.5613358943	3.1629258673	1.3839359341	2.2854568548	1.1924825838	5.71E-68	1.04E-64	1	LDHB	3.1629258673	0.7008620221	3.5044669021	0.3941361582	1.4468291235	2.1176883098	0.6640816342
CTC.523E23.11	0.0612693796	0.2722021254	0.102167572	0.044744417	2.2833591033	1.1911577697	1.45E-05	0.025664677	1	CTC.523E23.11	0.102167572	0.0373110143	0.1274136128	0.0009399257	0.0565951013	0.0651639873	0.0018771536
RCAN3	0.1234669485	0.4166756952	0.2057297627	0.090228562	2.2800957714	1.1890944235	5.43E-09	9.74E-06	1	RCAN3	0.2057297627	0.0855220933	0.2266010675	0.0439819643	0.0402986238	0.1287522414	0.0428987795
NPM3	0.0646414424	0.2775159485	0.1076588626	0.0472602034	2.2780025249	1.1877693461	3.99E-06	0.0070843169	1	NPM3	0.1076588626	0.0193113864	0.0660007083	0.0484681502	0.0603121142	0.0557384591	0.0419947256
PCED1B	0.0679350702	0.3021860346	0.1121794786	0.0500580651	2.2409871114	1.1641343515	1.54E-05	0.0271542119	1	PCED1B	0.1121794786	0.0433980534	0.0772640391	0.0204084612	0.0703575753	0.0800619994	0.022214001
CD6	0.1263369704	0.4020248475	0.2079371902	0.0933663059	2.2271116773	1.1551739031	3.83E-09	6.88E-06	1	CD6	0.2079371902	0.0346476901	0.2036916116	0.0124298715	0.1319490581	0.2100268557	0.0163014236
NOSIP	0.789964494	1.5157448845	1.2962987039	0.5853795627	2.214458424	1.1469539112	8.22E-24	1.49E-20	1	NOSIP	1.2962987039	0.1989358404	1.3332696331	0.3940274028	0.4674340166	1.0376221916	0.3121307401
SATB1	0.1033089427	0.4146900777	0.1693281714	0.0766337959	2.2095756761	1.143769343	4.48E-07	0.0007982394	1	SATB1	0.1693281714	0.0428101047	0.1198951279	0.0343402415	0.0869882178	0.1634787202	0.0387050852
CD3E	1.0726075807	1.7452118074	1.7471126213	0.8000730281	2.183691438	1.1267690136	1.97E-30	3.59E-27	1	CD3E	1.7471126213	0.1445648177	1.7658193952	0.0888770875	1.2750563999	1.861075995	0.1212559385
TMIGD2	0.0691578223	0.3134041063	0.1123176673	0.0517190363	2.1716890987	1.1188175802	4.30E-05	0.0756361942	1	TMIGD2	0.1123176673	0.0068700445	0.0373398285	0.0024851797	0.1692249289	0.1085370863	0.0092615245
AAK1	0.1643195425	0.4405019069	0.2666292017	0.1229812047	2.16804838	1.1163969508	2.77E-11	5.00E-08	1	AAK1	0.2666292017	0.0352515589	0.2314871141	0.0477183674	0.2189100264	0.225281924	0.0350393364
AQP3	0.2615403805	1.3637716201	0.4235283547	0.1960889496	2.1598787465	1.1109503232	4.81E-06	0.0085332008	1	AQP3	0.4235283547	0.049814181	0.7728211626	0.0134566454	0.0522280783	0.4116111359	0.0108846742
RGCC	0.3317588195	0.7801756187	0.5261587665	0.253211293	2.0779435243	1.0551564443	6.75E-14	1.22E-10	1	RGCC	0.5261587665	0.0642932571	0.6146368557	0.1741915689	0.1066804539	0.3891020602	0.240982186
NUCB2	0.1461097693	0.502552276	0.2316922541	0.111530066	2.077397266	1.0547771328	1.69E-07	0.0003015649	1	NUCB2	0.2316922541	0.0458493531	0.2024276545	0.0576630351	0.1744097868	0.1893168011	0.04286875
SCML4	0.0839601338	0.3407216735	0.1311389699	0.0648974698	2.0207100575	1.0148623308	4.52E-05	0.0794455649	1	SCML4	0.1311389699	0.0478288938	0.1263802862	0.008547964	0.0808103682	0.1344139729	0.0175405045
NMRK1	0.1094360165	0.3647768816	0.1706525332	0.0847014111	2.0147543119	1.0106039209	6.98E-07	0.001242188	1	NMRK1	0.1706525332	0.0529834124	0.1668742798	0.0389905092	0.1512729327	0.0801427386	0.0411694845
SOCS3	0.2390204155	0.6510808782	0.3723702209	0.1851402703	2.0112870113	1.0081189694	1.51E-08	2.70E-05	1	SOCS3	0.3723702209	0.0699495804	0.4037582092	0.1472364528	0.0419928982	0.2210116744	0.2461682019
CD27	0.3499646757	1.0950673028	0.5443904427	0.2714067165	2.0058105037	1.0041853157	3.90E-12	7.05E-09	1	CD27	0.5443904427	0.1767610422	0.6877982718	0.0313218289	0.2790464084	0.576082404	0.0185713875
TNFRSF13C	0.0178860497	0.1751289302	0.1320522831	0.0005064131	260.7600157831	8.0265788575	2.25E-07	0.0005121116	2	TNFRSF13C	0	0.1320522831	0.0024002338	0.0016648498	0	0	0
AC079767.4	0.0246708507	0.2058117577	0.1818114681	0.0007491819	242.6800199988	7.9229115251	9.78E-10	2.26E-06	2	AC079767.4	0	0.1818114681	0.0033124761	0	0.0026770163	0	0
RP5.887A10.1	0.0220568436	0.2229252544	0.1618660644	0.0007735501	209.2509012663	7.7090900264	6.09E-07	0.0013846979	2	RP5.887A10.1	0	0.1618660644	0	0	0	0	0.0046050407
IGLL5	0.3465936142	3.4732203161	2.5334983964	0.0136789754	185.211123007	7.5330269332	6.26E-07	0.0014220068	2	IGLL5	0.0081797283	2.5334983964	0.0160325554	0.0420734801	0.0112777171	0.0073093056	0.0073513127
LINC00926	0.2101927855	1.2507057194	1.5317672426	0.0090082225	170.0410082909	7.4097389086	8.13E-18	1.91E-14	2	LINC00926	0.0078010682	1.5317672426	0.0127220998	0.0059007568	0.0082504545	0.0035960183	0.0155553316
VPREB3	0.1481472607	0.6786571828	1.072833629	0.0073813568	145.3436884566	7.1833246136	8.33E-31	1.97E-27	2	VPREB3	0.0057119974	1.072833629	0.0031227162	0.0064614437	0.0026770163	0.0099880309	0.0162362336
CD79A	0.7382750342	2.9247639062	5.297544593	0.0442130016	119.8187050191	6.9047093361	3.73E-41	8.82E-38	2	CD79A	0.06014536	5.297544593	0.0306902361	0.0570041689	0.0356397712	0.013012277	0.0415519097
TCL1A	0.418461405	1.843964557	2.9966336555	0.0259837396	115.327266402	6.8495898342	3.00E-32	7.10E-29	2	TCL1A	0.0264954907	2.9966336555	0.0278050769	0.0332636667	0.0346656678	0.008524076	0.023791393
TSPAN13	0.0768319565	0.4092775622	0.5475530083	0.0051736337	105.8352880445	6.7256769269	1.21E-21	2.84E-18	2	TSPAN13	0.0051857952	0.5475530083	0.0033089485	0.0037835527	0.0106981914	0.0097891264	0
FCRLA	0.0791070562	0.7635872794	0.5628449872	0.0054671612	102.9501353455	6.6858019164	4.97E-07	0.0011310643	2	FCRLA	0.0050388762	0.5628449872	0.0119443885	0.0067524788	0.0050839827	0.0034385572	0.0023932957
KIAA0125	0.0566630783	0.3692232615	0.3980386989	0.004695136	84.776819107	6.4055979312	4.08E-14	9.52E-11	2	KIAA0125	0.004671227	0.3980386989	0.0091413177	0.0051928965	0.006604559	0	0.0030247253
FCER2	0.1161081286	0.560589243	0.8120360221	0.0101663496	79.8748869434	6.3196700789	7.47E-26	1.76E-22	2	FCER2	0.0025137455	0.8120360221	0.0124897733	0.0103286944	0.0248709823	0.0070745991	0.0143040974
FAM129C	0.0216241569	0.170984432	0.1489112948	0.0022471123	66.267845981	6.0502371206	1.17E-09	2.69E-06	2	FAM129C	0.0009667477	0.1489112948	0.0036150118	0.0068667289	0.0026770163	0	0.0014977089
FCRL2	0.0211425815	0.1962675125	0.1445607118	0.0023545196	61.397114866	5.9400989579	3.46E-07	0.0007874924	2	FCRL2	0.0044671473	0.1445607118	0	0.003109797	0	0.0039264025	0
RP11.693J15.5	0.0241292188	0.1970844557	0.1641348728	0.0028160222	58.2860727495	5.8650792926	5.24E-09	1.20E-05	2	RP11.693J15.5	0.0030708929	0.1641348728	0	0.005208508	0	0.0093721587	0
PCDH9	0.0154717009	0.165211179	0.1041794308	0.001967637	52.9464676258	5.7264625315	1.41E-05	0.0317350933	2	PCDH9	0.0013461116	0.1041794308	0.0020475141	0.0058928657	0.0039266533	0	0
MS4A1	0.4112299847	1.3079802437	2.7635380159	0.0531358487	52.0089182987	5.7006871274	4.93E-61	1.17E-57	2	MS4A1	0.0440151169	2.7635380159	0.0561555173	0.0582655719	0.0662705155	0.0560114662	0.0527966646
SPIB	0.0609469124	0.3482961597	0.4069112854	0.0082804199	49.141383079	5.6188665577	8.83E-17	2.07E-13	2	SPIB	0.0068630799	0.4069112854	0.0109174273	0.021235448	0	0.0037731195	0.00881034
CD19	0.0503944606	0.3192219894	0.3357355303	0.0069567124	48.2606596664	5.5927757305	1.16E-13	2.70E-10	2	CD19	0.0023735138	0.3357355303	0.008234609	0.0138018474	0.0104604116	0.0045391936	0.0088205892
BLNK	0.0612565365	0.5496862248	0.4070830155	0.0086110357	47.2745705884	5.5629924486	5.19E-07	0.0011819477	2	BLNK	0.0102528825	0.4070830155	0.0032966606	0.0245709909	0	0.0040374319	0.0068247346
PNOC	0.0521609133	0.3088120633	0.34661994	0.0073351297	47.254780059	5.5623883675	4.85E-16	1.13E-12	2	PNOC	0.0027461673	0.34661994	0.0151303138	0.0059223001	0.0023304143	0.0047341703	0.0175862453
LCN8	0.0195932457	0.170360871	0.1296545918	0.0028385	45.6771498496	5.5134007275	8.50E-08	0.0001943179	2	LCN8	0.0013838454	0.1296545918	0.0083548616	0.0025916659	0.0038793442	0.0044024134	0
PKIG	0.0690502049	0.3941585263	0.4555352549	0.0102152105	44.5938198817	5.4787718803	3.75E-19	8.79E-16	2	PKIG	0.0118096656	0.4555352549	0.0067292822	0.0340528124	0.0023304143	0	0.0045949684
HLA.DOB	0.07085216	0.37363986	0.4671400581	0.0105248685	44.3844081178	5.4719810534	3.94E-19	9.24E-16	2	HLA.DOB	0.0089665435	0.4671400581	0.0090649041	0.0220415156	0.0152354793	0.0037776572	0.0069477262
CD200	0.0251109455	0.2089310244	0.1652852364	0.003772077	43.8180967777	5.4534549177	3.83E-08	8.77E-05	2	CD200	0.0075531919	0.1652852364	0.003955573	0.0037493983	0.0023304143	0	0
BCL7A	0.0259650536	0.2166762221	0.1705242186	0.0039586716	43.0761217028	5.4288164596	4.74E-08	0.0001085351	2	BCL7A	0.0054197458	0.1705242186	0.0078088733	0.0054648198	0	0.0042361726	0
CD72	0.0755901871	0.4135013067	0.4956680614	0.0116413244	42.57832223	5.4120471974	1.76E-17	4.13E-14	2	CD72	0.0111147873	0.4956680614	0.0060067828	0.0146275413	0.0224499006	0.0143394951	0.0041582958
TLR10	0.0266554487	0.1889034472	0.1715924627	0.0045915463	37.3713892656	5.2238622912	1.20E-10	2.79E-07	2	TLR10	0.0013342481	0.1715924627	0.0033391753	0.0137123145	0.0026770163	0	0.0096511567
POU2AF1	0.0358541971	0.2498482405	0.2301960392	0.0062693497	36.7176897884	5.1984033847	5.98E-11	1.38E-07	2	POU2AF1	0.0057332532	0.2301960392	0.0170196871	0.0092050774	0.0047819639	0.0041114162	0
TNFRSF13B	0.0175391808	0.1708957492	0.1107435052	0.003350596	33.0518823723	5.0466605334	5.74E-06	0.012956578	2	TNFRSF13B	0.0025727932	0.1107435052	0.0029465174	0.0052617044	0	0.0030886155	0.0064826947
P2RX5	0.0882385396	0.7393698573	0.5476011705	0.0183093202	29.9083288758	4.9024753972	6.29E-07	0.0014277904	2	P2RX5	0.0197209116	0.5476011705	0.0188987952	0.0093382744	0.0176637426	0.0271899614	0.0161754651
OSBPL10	0.0130595289	0.1316941533	0.0809625619	0.0027225843	29.7373942975	4.8942063334	1.73E-05	0.0387653662	2	OSBPL10	0.0046762934	0.0809625619	0.0025353755	0.0066787104	0	0	0
ADAM28	0.0462108464	0.2921970505	0.2809031104	0.0104834152	26.7950000951	4.7438919161	8.26E-12	1.92E-08	2	ADAM28	0.0064979557	0.2809031104	0.0187961829	0.0129230603	0.0210518758	0	0.0097798465
BLK	0.0787611182	0.3947770968	0.4775203242	0.018057617	26.444260235	4.7248827122	1.85E-19	4.34E-16	2	BLK	0.0100918623	0.4775203242	0.0096517404	0.0028694535	0.0049877283	0.1016541729	0.0020119582
GNG7	0.0759822663	0.3596883029	0.4565618931	0.0180462601	25.2995296796	4.6610386602	4.03E-21	9.50E-18	2	GNG7	0.0148711657	0.4565618931	0.0117088653	0.0233382929	0.0050092828	0.0139557511	0.0378080307
SNX29P2	0.0520406851	0.3115073676	0.3091767168	0.0128966173	23.9734738782	4.5833670729	5.48E-13	1.28E-09	2	SNX29P2	0.0026858135	0.3091767168	0.0051445848	0.0183657346	0.0286560769	0.0037327653	0.0287783345
CD79B	0.7316511931	2.0454110055	4.3408743523	0.1822156466	23.8227311092	4.5742669124	9.46E-61	2.24E-57	2	CD79B	0.1010448917	4.3408743523	0.1139691866	0.5217833801	0.2788266931	0.1527256018	0.0762428443
AFF3	0.0312736617	0.2200067093	0.1846424992	0.0079261746	23.2952853547	4.5419660977	4.06E-09	9.33E-06	2	AFF3	0.0083123261	0.1846424992	0.0060975699	0.0156027593	0.0057500493	0.0084526827	0.0038730434
MZB1	0.0440909521	0.3326658671	0.2597620993	0.0112591239	23.0712533364	4.5280244749	6.81E-09	1.56E-05	2	MZB1	0.0166312909	0.2597620993	0.0034638825	0.005248	0.0088902647	0.019299978	0.0070060745
CD180	0.0374399708	0.2346375711	0.2203368537	0.0095974007	22.9579716648	4.5209232805	1.58E-11	3.66E-08	2	CD180	0.0020943802	0.2203368537	0	0.0367895593	0.0124520668	0.004477722	0.0118157516
BANK1	0.1588130832	0.5915602384	0.9277296821	0.0417601627	22.2156625484	4.4735052631	3.03E-32	7.17E-29	2	BANK1	0.0276756804	0.9277296821	0.0458914657	0.0353445748	0.0736006925	0.0413235969	0.0472124084
KIAA0226L	0.0253509932	0.1925238168	0.1470614873	0.0068228865	21.5541452609	4.4298934478	7.74E-09	1.78E-05	2	KIAA0226L	0.0037374628	0.1470614873	0	0.0111308623	0.0091167193	0.0025240032	0.0158076669
FCGR2B	0.0404830264	0.2657350268	0.2339069219	0.0110379189	21.1912157563	4.4053944535	1.82E-10	4.22E-07	2	FCGR2B	0.0068159499	0.2339069219	0	0.0277474341	0.0129937187	0.0033029674	0.0184604289
FCRL1	0.0611953549	0.3238471064	0.3494403926	0.0173155329	20.1807471911	4.334907686	2.69E-15	6.29E-12	2	FCRL1	0.0197447926	0.3494403926	0.0060545997	0.0210483069	0.0110576469	0.0236859296	0.0180605904
RALGPS2	0.0411260859	0.2497406022	0.2280363435	0.0126725558	17.9945029468	4.1694843469	4.74E-11	1.10E-07	2	RALGPS2	0.0103073449	0.2280363435	0.0270509782	0.0159299797	0.0110783852	0.0118510911	0.0062776587
HLA.DOA	0.0221348307	0.1759474346	0.1222664608	0.0068916954	17.7411294729	4.1490259553	6.76E-07	0.0015338514	2	HLA.DOA	0.0039155488	0.1222664608	0	0.0234755431	0.0059200615	0.0085958145	0.0044899936
CD40	0.0757074623	0.3339963197	0.4119727233	0.024517475	16.8032280286	4.0706665073	1.94E-20	4.56E-17	2	CD40	0.010581727	0.4119727233	0.0102809514	0.0704774304	0.0268832269	0.0119232244	0.0340249323
HLA.DQB1	0.6638993345	1.8209049201	3.5685068514	0.2217281114	16.0940659656	4.008456946	2.52E-54	5.98E-51	2	HLA.DQB1	0.0487551331	3.5685068514	0.169480715	0.896471971	0.1057088948	0.0660255987	0.2815772254
HLA.DQA1	0.6932431506	2.0302097297	3.6832143106	0.2380769373	15.4706892326	3.9514655664	1.22E-55	2.90E-52	2	HLA.DQA1	0.0160895443	3.6832143106	0.066705099	1.3059849644	0.1140736184	0.0801303959	0.1853217425
STRBP	0.0385656803	0.2293693419	0.203503195	0.0134570822	15.1223862344	3.9186139022	6.70E-11	1.55E-07	2	STRBP	0.0212383056	0.203503195	0.017675424	0.0038332184	0.0040671861	0.0271006384	0
SWAP70	0.070558871	0.3762685939	0.3682793781	0.0252365891	14.5930726738	3.8672117797	1.90E-13	4.43E-10	2	SWAP70	0.0116405573	0.3682793781	0.0203233932	0.096957747	0.0082689613	0.0188144796	0.0180395265
HLA.DQB2	0.0299582435	0.200368841	0.1561471124	0.0107483894	14.527489281	3.8607134851	8.37E-09	1.92E-05	2	HLA.DQB2	0.0011833717	0.1561471124	0.0167561712	0.0447847252	0.0107667174	0	0.0067145036
CD22	0.0578012143	0.2853516611	0.3002764938	0.020888967	14.3748847494	3.8454784842	5.73E-16	1.34E-12	2	CD22	0.020846732	0.3002764938	0.0342428476	0.0179990016	0.0188341989	0.0137541953	0.0202473333
